CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
LAB,LAB,0.45,4,9,6,3,3,10,8
MAO,LAB,0.06,5,8,8,0,0,8,10
NZF,NZF,0.07,2,9,8,0,0,8,0
MAO,LAB,0.33,5,4,3,0,0,0,9
MAO,LAB,0.11,4,4,6,10,0,0,10
MAO,MAO,0.11,8,2,5,0,5,5,10
MAO,LAB,0.69,5,5,3,3,3,6,6
LAB,DK,0.09,0,5,5,5,0,5,5
LAB,LAB,0.09,0,10,5,0,0,2,5
MAO,No Vote,0.05,3,4,2,2,2,9,10
LAB,LAB,0.22,5,10,5,0,0,6,10
LAB,LAB,0.33,7,10,10,5,5,10,10
GRN,GRN,0.1,0,7,1,0,0,10,4
No Vote,MAO,0.5,2,2,8,2,2,8,8
MAO,MAO,0.14,5,5,5,1,0,5,10
GRN,No Vote,1.22,0,1,5,1,8,9,6
LAB,LAB,0.36,2,4,2,0,0,3,0
MAO,MAO,0.05,7,6,5,1,3,6,10
LAB,LAB,0.16,0,7,0,0,0,0,7
LAB,LAB,1.22,5,10,0,0,0,7,7
NZF,NZF,0.15,1,8,8,5,1,3,4
LAB,LAB,0.09,5,0,0,0,0,0,0
LAB,LAB,0.16,5,8,6,0,0,3,7
LAB,MAO,0.77,0,10,10,0,0,6,0
LAB,LAB,0.37,0,10,5,0,0,5,1
LAB,LAB,0.37,0,10,5,5,5,7,6
LAB,LAB,0.08,6,9,2,2,0,8,8
NAT,NAT,0.18,5,7,2,4,2,4,5
MAO,DK,0.39,0,0,0,0,0,0,0
LAB,LAB,0.14,5,7,4,5,5,5,7
LAB,LAB,0.37,0,0,0,0,0,0,0
LAB,LAB,0.36,5,10,1,1,1,8,7
LAB,DK,0.21,7,6,4,0,4,0,10
MAO,LAB,0.18,0,0,0,0,0,0,0
No Vote,No Vote,1.76,10,1,8,1,1,6,5
MAO,NZF,0.05,10,10,10,5,0,5,5
NZF,NZF,0.08,5,5,7,0,0,4,7
MAO,DK,1.11,5,5,2,0,0,5,5
NZF,NZF,0.43,10,0,10,0,0,0,7
NZF,LAB,0.17,8,7,7,6,6,7,8
GRN,GRN,0.26,7,7,0,1,0,10,4
NAT,NAT,0.21,5,0,0,0,0,0,5
LAB,LAB,0.43,0,0,0,0,0,0,0
LAB,LAB,0.09,5,10,7,5,3,8,7
LAB,LAB,0.13,0,9,0,0,0,0,0
LAB,LAB,0.08,0,10,10,0,0,0,0
MAO,MAO,0.06,10,5,0,2,2,6,10
NZF,NZF,0.14,5,5,10,0,0,0,2
NAT,DK,0.33,10,5,0,0,0,0,5
LAB,LAB,0.27,9,9,9,0,0,0,0
LAB,DK,1.67,0,0,0,0,0,0,0
LAB,LAB,0.27,0,10,0,0,0,0,0
GRN,MAO,0.2,0,10,0,0,0,10,0
LAB,LAB,0.45,0,10,1,1,0,1,10
MAO,LAB,0.29,3,9,3,5,0,5,9
LAB,LAB,0.19,0,10,5,0,0,9,0
MAO,DK,0.25,4,4,4,0,0,0,10
LAB,LAB,0.36,0,10,7,5,5,7,5
LAB,LAB,0.19,1,9,7,0,0,9,6
LAB,LAB,0.4,1,10,5,1,1,8,9
MAO,LAB,0.16,4,6,3,2,0,4,10
LAB,LAB,0.17,5,10,2,0,1,6,6
MAO,LAB,0.14,0,10,5,0,2,9,10
MAO,LAB,0.13,8,5,3,1,0,8,10
LAB,LAB,0.08,2,9,3,5,2,8,10
LAB,LAB,0.08,5,10,8,5,5,5,5
LAB,LAB,0.59,4,10,3,0,1,5,9
LAB,LAB,0.4,0,0,0,0,0,0,0
GRN,NZF,0.43,6,6,6,5,4,3,3
NAT,NAT,0.3,9,1,3,8,0,3,9
NAT,LAB,0.43,9,6,1,2,4,5,7
No Vote,LAB,0.43,9,10,0,0,0,8,0
GRN,DK,0.26,0,9,3,5,0,10,9
NZF,LAB,0.64,1,6,10,0,1,1,6
MAO,No Vote,0.73,4,5,0,0,0,0,10
MAO,MAO,0.13,5,5,2,1,1,0,8
LAB,LAB,0.43,9,9,5,5,5,5,5
MAO,LAB,0.5,3,7,5,0,0,6,9
NZF,NZF,0.22,2,5,7,7,0,3,4
NAT,LAB,0.32,10,6,2,2,2,3,3
NAT,NAT,0.43,8,4,7,5,5,6,7
LAB,LAB,0.44,3,10,5,0,0,5,1
