lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.138338333,0.05465875,0.218635,0.143856949,5.462822458,2.257497181,0.195861678,-1.803447928,-1.832190686,2
0.320596667,0.080149167,0.320596667,0.250418442,3.341067285,2.455702229,0.333333333,-1.242453325,-1.3851582,2
0.307737778,0.081982222,0.327928889,0.243882838,3.412322275,1.944261352,0.335,-1.33136678,-1.411763675,2
0.143101667,0.044136667,0.176546667,0.126609838,3.310344828,2.404670304,0.333333333,-1.098612289,-1.326111271,2
0.189713333,0.098674583,0.394698333,0.217994385,4.140310523,2.280195123,0.264444444,-1.543047154,-1.61377094,2
0.149061111,0.086259028,0.345036111,0.18784116,3.717088281,2.250325541,0.277777778,-1.406723695,-1.412859198,2
0.145703889,0.049307639,0.197230556,0.130422879,4.382227632,2.311575883,0.277222222,-1.428518783,-1.590498028,2
0.173507778,0.073073611,0.292294444,0.176303733,2.878848461,2.146200856,0.333333333,-1.242453325,-1.243940446,2
0.29518,0.091181111,0.364724444,0.243247287,3.162055336,2.047771995,0.7,-0.718800861,-1.390018013,2
0.342335556,0.095609306,0.382437222,0.274180226,2.975206612,2.1358132,0.390833333,-1.157980546,-1.287165108,2
0.194664444,0.054066806,0.216267222,0.15607961,3.314917127,2.598159711,0.333333333,-1.242453325,-1.27993032,2
0.311743333,0.102065694,0.408262778,0.266707093,2.66469282,2.324898816,0.319444444,-1.357977855,-1.092756252,2
0.140559444,0.05401875,0.216075,0.133175144,3.328710125,2.249657705,0.333333333,-1.242453325,-1.365827751,2
0.272585,0.094118472,0.376473889,0.235944861,3.848209514,2.154350855,0.28,-1.46315431,-1.53170759,2
0.165666111,0.066599583,0.266398333,0.159429006,3.759791123,1.975063675,0.287301587,-1.497519262,-1.545588341,2
0.296936111,0.110195278,0.440781111,0.269815207,2.886928629,2.692812257,0.466666667,-1.172993472,-1.290714113,2
0.245656111,0.07875125,0.315005,0.206996971,2.998750521,2.235290684,0.333333333,-1.242453325,-1.209551956,2
0.235442222,0.093747917,0.374991667,0.229240624,3.110151188,2.422034864,0.739795918,-0.722067082,-1.40689794,2
