"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
Labour,NZFirst,0.49,5,6,8,0,1,1,10,0
Labour,Labour,1.84,5,8,6,5,5,10,10,10
Labour,NZFirst,0.49,2,7,7,0,0,6,6,0
NZ First,NZFirst,1.30,7,8,8,3,4,5,3,5
Maori,Labour,0.23,5,5,1,0,1,7,10,0
Labour,Labour,1.21,0,3,3,0,0,10,10,0
Labour,Labour,0.37,7,8,6,0,2,6,6,0
National,Labour,2.81,6,5,4,3,2,7,7,6
NZ First,NZFirst,0.25,8,2,9,1,1,1,5,0
Maori,Labour,0.40,4,4,5,4,3,4,5,5
Maori,Labour,2.67,5,5,5,0,2,5,7,5
Labour,Labour,1.61,3,7,1,0,1,6,6,0
Labour,Labour,0.60,2,10,5,0,0,10,10,0
Green,Green,0.42,5,8,8,2,2,10,8,8
NZ First,Labour,0.79,0,10,10,0,0,5,10,10
Labour,Labour,1.36,2,10,0,3,3,5,5,3
Maori,NZFirst,0.20,1,6,10,0,0,2,10,0
Labour,Labour,0.77,3,9,6,5,0,7,7,5
Labour,Labour,0.79,2,8,0,0,0,8,0,0
Green,DK,0.42,4,6,3,2,1,8,6,5
Labour,Labour,0.69,5,10,9,9,5,8,10,0
Maori,Labour,0.40,0,0,0,0,0,0,0,0
National,Maori,1.17,8,4,6,1,3,6,10,3
NZ First,Labour,1.18,5,10,10,0,5,5,10,5
Green,Labour,0.58,0,3,0,0,0,9,10,6
National,National,0.53,8,8,5,5,1,6,5,2
Kiwi,Destiny,1.62,0,3,10,0,0,5,8,1
Labour,Labour,1.66,2,8,0,0,0,8,6,1
Maori,No Vote,0.91,2,10,1,1,1,1,5,1
Labour,Labour,4.00,2,7,4,5,2,8,8,6
Labour,Labour,1.47,3,7,6,2,1,5,8,5
Green,Green,0.95,0,10,5,0,0,10,0,7
Maori,Labour,,3,10,5,0,0,5,5,0
Labour,Labour,1.36,5,10,5,5,4,9,6,3
Labour,Labour,1.21,0,10,0,0,0,0,0,0
Maori,Maori,0.19,6,6,4,2,4,6,9,4
Maori,Labour,0.20,1,2,2,0,0,2,10,0
Labour,Labour,3.22,0,10,0,2,4,7,10,1
Maori,NZFirst,0.65,8,6,8,5,0,2,8,0
No Vote,Labour,1.21,1,8,5,1,1,1,7,1
Labour,Labour,2.33,0,6,6,0,0,6,6,0
National,Act,1.00,8,1,0,8,8,3,8,0
Labour,Labour,3.19,0,0,0,0,0,0,0,0
Labour,Labour,0.31,0,10,5,5,5,10,5,5
National,National,0.86,10,2,6,6,6,6,6,3
Labour,No Vote,1.32,4,6,1,0,0,4,0,0
National,National,0.67,8,2,1,4,6,0,3,2
National,DK,1.65,8,2,2,5,5,6,0,5
NZ First,NZFirst,0.62,5,9,8,0,0,0,0,0
National,Green,1.64,10,6,0,4,3,5,6,4
National,National,0.35,7,1,1,5,1,2,1,6
National,National,1.52,10,3,0,5,5,6,5,5
Labour,Labour,0.98,5,10,5,5,5,8,6,4
Labour,Labour,0.31,6,10,4,0,0,0,0,0
National,National,0.86,7,0,0,2,2,0,0,1
National,National,1.64,9,3,0,6,6,2,1,1
Labour,Labour,0.55,0,10,5,0,0,10,0,0
Labour,Labour,0.30,0,8,2,0,0,1,0,0
Labour,Labour,0.26,2,9,3,1,0,8,8,7
Green,Green,1.62,3,8,3,0,2,10,8,0
Labour,Labour,0.77,6,8,5,5,5,0,5,0
National,Labour,0.66,8,5,0,5,10,4,0,0
Labour,Labour,0.30,3,10,3,0,0,10,10,10
Act,Act,1.77,8,2,0,2,9,2,7,1
National,Act,0.38,8,3,0,4,7,1,4,3
Labour,Labour,0.46,4,9,1,1,1,10,6,1
Labour,Labour,0.30,3,10,0,0,0,8,7,0
National,Labour,0.33,8,3,5,7,1,6,7,0
National,National,,8,3,1,2,2,5,4,0
Labour,No Vote,1.36,3,8,5,5,1,3,4,5
National,Labour,0.67,4,3,0,0,0,3,0,0
Labour,Labour,1.47,6,7,3,3,3,0,0,6
Labour,Labour,0.62,2,10,1,1,1,7,5,8
No Vote,Labour,3.33,0,8,0,5,0,5,5,5
National,Green,0.88,8,2,0,3,2,3,6,1
Labour,Labour,0.59,3,8,0,0,6,1,5,1
Green,Labour,0.73,3,10,0,4,0,8,6,6
Labour,Labour,0.31,7,9,5,1,0,7,1,7
National,National,0.77,9,3,3,3,9,5,5,5
National,National,0.67,10,2,2,5,5,2,5,5
National,National,0.35,10,0,1,7,5,6,0,0
National,NZFirst,0.67,6,3,6,0,3,3,3,0
No Vote,DK,3.05,0,0,0,0,0,0,0,0
No Vote,No Vote,5.33,7,5,2,5,6,6,2,6
NZ First,NZFirst,1.18,5,5,10,2,2,7,5,5
Labour,Labour,0.98,1,7,10,0,0,5,0,5
Labour,Labour,1.47,1,10,4,4,4,4,4,4
Labour,Labour,0.55,5,4,0,9,1,6,5,6
United F,Labour,0.46,6,6,0,7,0,6,5,5
National,National,0.35,10,6,0,7,0,0,0,0
Green,Labour,0.96,8,8,0,0,0,9,5,8
National,National,0.66,8,3,0,6,7,7,6,2
Labour,Labour,0.34,0,10,2,1,1,10,5,8
National,Labour,2.81,8,7,4,2,6,3,3,3
Labour,Labour,1.66,5,9,6,7,7,7,7,9
Labour,Green,0.60,2,7,6,2,0,6,5,6
Labour,Labour,0.98,5,9,9,0,1,9,6,9
National,National,0.35,10,1,1,5,4,1,5,1
National,National,1.80,7,0,0,5,5,5,3,0
Labour,Labour,0.77,5,10,8,5,2,8,8,8
Labour,Labour,1.32,1,3,0,0,0,2,0,0
Labour,Labour,0.30,5,8,1,1,0,0,0,0
Labour,Labour,0.77,8,10,5,1,3,9,0,9
National,National,0.53,7,7,0,0,3,0,3,0
Labour,Labour,0.31,0,10,7,1,0,6,8,9
National,National,0.86,10,0,0,5,10,0,5,0
National,National,0.49,10,5,1,5,6,2,3,3
National,National,0.51,9,2,0,0,4,0,6,0
Labour,Labour,0.30,3,10,0,0,0,6,3,6
Act,National,0.35,10,4,6,6,8,4,4,4
Act,National,1.25,9,3,1,6,10,3,6,5
Labour,Labour,0.30,4,6,4,3,0,5,0,5
National,National,1.48,5,0,0,0,0,0,0,0
Labour,Labour,0.30,10,9,9,6,5,6,2,6
National,National,1.80,8,6,1,6,7,5,7,4
National,National,0.33,9,5,7,0,0,5,0,0
Act,National,3.25,9,2,4,4,9,0,6,1
Labour,Labour,0.98,4,10,4,3,0,2,5,0
Act,National,0.66,9,0,1,1,8,0,8,0
Labour,DK,1.36,5,8,2,2,2,8,3,5
National,National,0.42,10,1,3,0,4,4,4,0
National,Labour,3.57,7,4,3,2,3,1,1,0
National,National,1.10,10,0,5,8,6,2,8,0
Labour,Labour,1.36,5,7,5,5,5,7,5,5
Labour,Labour,0.31,5,10,6,0,0,6,0,0
National,Labour,0.66,8,6,3,7,7,6,8,6
National,Labour,0.77,6,5,0,1,3,4,0,0
National,National,0.33,10,5,0,5,6,0,5,0
Labour,Labour,1.47,2,10,9,0,10,6,5,0
Labour,Labour,0.30,5,10,8,0,0,0,0,0
Green,Green,0.99,0,5,5,4,0,7,1,4
Labour,Labour,1.32,4,6,0,0,0,7,0,0
NZ First,NZFirst,0.79,7,1,10,7,1,1,1,1
NZ First,NZFirst,0.63,3,7,10,1,0,4,5,0
Green,Labour,0.28,6,5,0,2,1,9,9,6
Labour,Labour,0.60,6,10,7,2,0,9,5,9
National,National,1.65,9,2,0,5,8,1,4,0
National,Labour,2.91,5,7,0,0,0,0,0,0
NZ First,NZFirst,0.63,6,8,10,0,5,0,0,0
Act,Act,0.82,5,6,3,3,7,5,0,5
Labour,Labour,3.22,5,9,1,1,7,5,2,6
Labour,Labour,0.30,3,4,0,0,0,4,0,0
Labour,Labour,0.77,5,5,1,5,5,6,6,5
Labour,National,0.60,5,10,0,0,0,0,0,0
NZ First,National,3.22,6,2,3,0,0,0,0,0
Labour,Labour,0.30,0,10,7,1,0,5,1,9
National,Labour,0.86,6,6,0,6,0,2,3,3
Labour,Labour,0.31,10,10,10,9,9,3,2,8
National,National,1.65,8,5,0,5,5,3,7,0
NZ First,Labour,0.24,5,8,8,0,0,8,3,3
Labour,Labour,0.30,2,9,4,2,2,7,6,5
National,Labour,0.38,7,5,2,4,5,4,5,0
National,Act,0.86,10,0,0,5,10,0,5,0
Labour,Labour,1.47,2,10,5,0,0,0,0,3
Labour,Labour,0.31,4,10,8,1,1,2,2,4
Labour,Labour,0.31,1,10,1,1,1,7,5,3
National,National,0.35,10,2,2,2,3,0,7,2
Labour,Labour,0.30,0,0,0,0,0,0,0,0
Labour,Labour,2.16,3,7,0,0,0,6,7,0
NZ First,Green,0.76,7,7,10,7,2,10,0,4
National,National,0.35,8,2,1,6,5,5,5,0
National,National,0.33,3,0,0,0,0,0,0,0
Labour,Labour,5.32,5,7,3,3,3,5,4,3
Labour,Labour,0.98,0,10,0,0,0,0,0,0
No Vote,National,1.21,4,4,0,0,0,0,0,0
Labour,DK,1.57,0,5,2,2,2,4,2,2
Maori,Green,0.88,0,2,5,5,0,9,10,9
National,National,0.35,10,3,0,5,5,2,2,3
National,United F,0.62,9,5,5,5,4,4,6,4
Labour,Labour,0.48,0,8,3,0,0,10,8,8
National,Labour,0.67,8,3,4,0,0,0,0,0
National,National,1.52,9,1,0,5,7,3,5,2
National,NZFirst,0.26,8,2,4,5,5,0,5,0
Labour,Green,0.77,4,8,0,3,2,8,5,2
National,Labour,1.17,7,6,0,0,0,0,5,0
Labour,Labour,0.31,3,8,0,0,0,0,0,0
National,National,0.35,10,0,0,1,7,2,0,0
National,National,0.62,7,3,0,5,6,0,5,0
Labour,Labour,0.46,4,7,7,0,4,7,6,0
National,National,0.86,9,1,1,1,7,2,5,2
Labour,Labour,0.23,3,8,3,8,1,6,5,6
Labour,Labour,1.32,5,8,1,1,0,5,1,3
Labour,Labour,0.60,1,10,5,0,0,5,0,0
Green,Labour,0.72,3,7,2,5,2,7,5,0
Labour,Labour,0.29,3,10,7,0,5,7,7,5
National,Labour,0.66,6,7,1,1,4,4,4,0
National,National,1.52,10,7,1,0,0,1,0,0
National,National,0.35,10,5,2,5,3,5,6,0
Labour,Labour,1.61,5,5,0,0,5,9,5,0
Labour,Labour,0.55,5,8,5,4,4,5,5,8
NZ First,Labour,1.30,6,9,7,0,0,7,5,3
NZ First,NZFirst,0.25,6,8,8,3,3,1,1,3
Labour,DK,0.79,8,5,0,1,2,3,0,1
Act,National,0.93,7,3,0,2,7,0,1,1
National,Labour,0.26,7,7,5,5,0,5,6,7
Labour,Labour,2.16,0,0,0,0,0,0,0,0
Labour,Labour,1.47,3,9,5,1,0,3,0,7
Labour,Labour,0.98,3,6,3,3,2,3,3,2
Green,Labour,0.73,3,8,2,2,2,7,6,7
Act,NZFirst,3.13,5,1,2,0,0,0,0,0
NZ First,NZFirst,0.62,4,6,6,4,0,4,3,4
National,National,1.86,5,6,2,2,6,2,2,2
National,Labour,0.88,8,7,0,0,0,0,0,0
National,National,1.48,9,3,0,1,1,4,2,2
National,National,0.38,9,4,0,4,5,0,5,1
NZ First,NZFirst,0.24,6,3,8,5,8,5,2,5
Labour,Labour,0.48,3,7,4,2,0,7,5,5
National,DK,0.34,6,3,2,0,2,4,6,0
National,National,1.56,5,5,5,5,5,0,5,0
United F,United F,1.32,3,2,1,10,1,1,2,7
National,National,0.35,10,5,0,5,5,4,7,0
Progressive,Labour,0.88,6,8,3,1,3,5,0,7
National,National,2.42,0,0,0,0,0,0,0,0
National,National,1.76,9,2,1,6,7,7,2,3
National,National,0.86,9,4,4,4,4,6,4,4
National,DK,0.77,8,1,3,5,6,6,6,4
Labour,Labour,0.31,8,8,6,7,7,7,0,0
National,National,0.86,8,3,8,5,2,2,2,0
Green,Labour,0.36,3,7,6,2,1,9,6,2
National,National,0.88,8,6,4,5,5,4,4,5
National,Labour,0.32,6,4,7,3,3,8,0,0
National,National,0.86,8,4,0,4,6,6,1,3
Green,Labour,1.39,5,7,1,1,1,7,5,5
National,National,0.86,8,0,0,3,7,0,5,0
Labour,Labour,0.31,5,7,0,0,0,0,0,0
Green,Labour,0.68,2,9,0,0,0,10,5,6
NZ First,Labour,0.30,3,9,8,4,0,9,5,8
Labour,National,0.69,9,1,0,5,0,5,1,0
National,National,0.53,9,3,5,7,6,0,7,0
National,DK,0.86,7,3,0,4,7,0,2,1
National,National,1.52,8,5,0,1,2,0,0,0
National,National,0.26,8,2,2,6,6,1,4,0
Labour,Labour,0.98,5,2,0,0,0,0,0,0
National,United F,0.35,8,2,1,5,6,1,0,0
National,National,0.86,7,4,2,4,5,2,3,2
National,National,0.77,9,5,5,6,5,2,7,0
National,National,0.67,10,0,5,5,8,5,0,5
Labour,Labour,0.30,5,10,5,0,5,8,4,0
NZ First,United F,0.48,7,2,4,2,2,1,4,2
Labour,Labour,0.55,7,9,1,0,0,2,0,0
National,Green,1.17,7,3,0,5,6,7,3,5
Labour,Labour,0.89,2,7,1,3,3,10,7,9
Labour,Labour,0.31,2,9,1,4,0,2,9,0
National,National,1.10,10,6,8,5,6,4,5,5
National,Labour,1.52,9,8,9,5,5,5,5,5
National,National,0.86,8,7,0,3,3,0,7,3
National,National,0.35,6,3,3,9,0,5,5,5
National,United F,1.00,9,9,0,6,0,8,8,2
Labour,Labour,0.31,8,9,5,5,1,7,5,5
Labour,Labour,1.47,5,8,8,5,0,5,5,5
Labour,Labour,0.98,1,10,5,5,5,5,5,5
No Vote,National,0.54,10,0,0,2,2,0,0,0
National,Labour,0.86,5,3,5,3,3,2,5,2
National,National,1.64,9,1,0,3,3,2,5,5
Labour,Labour,2.61,5,8,7,5,7,5,5,5
National,Act,0.33,10,2,1,5,8,1,5,1
NZ First,NZFirst,0.25,6,4,0,0,0,0,0,0
National,National,0.77,8,5,0,5,6,4,1,0
Act,Labour,0.35,6,8,5,2,6,5,5,5
Labour,Labour,0.79,0,8,4,2,0,10,5,4
Labour,Labour,0.34,5,10,5,5,5,5,5,5
National,National,2.81,10,3,6,0,0,0,10,0
National,National,0.67,7,1,6,2,1,3,1,3
Labour,Labour,0.31,2,10,5,5,2,8,7,0
Labour,DK,1.36,5,5,5,0,0,0,0,0
Labour,Labour,0.34,8,9,0,0,0,7,0,7
National,NZFirst,0.86,9,6,5,5,7,5,5,5
Act,Labour,1.25,5,6,3,3,8,6,2,5
Green,Green,1.28,5,7,2,1,0,8,7,5
National,Labour,1.00,7,8,5,3,1,6,7,7
National,National,0.86,8,2,0,5,7,5,6,3
Labour,Labour,1.28,2,10,0,1,1,6,0,0
National,National,0.51,8,1,0,0,0,0,2,0
National,National,0.67,6,4,0,0,0,0,0,0
National,National,2.42,8,0,0,0,0,0,0,0
National,National,0.53,7,3,1,1,2,2,1,1
Green,Green,0.73,2,8,3,1,0,10,0,8
National,Labour,0.88,9,7,0,5,7,8,6,5
Progressive,Labour,0.50,8,5,4,3,2,1,7,9
Labour,DK,0.60,6,9,6,4,4,9,7,0
National,National,0.86,9,3,5,7,8,1,6,3
National,National,0.38,10,0,0,6,7,2,8,0
National,National,0.53,10,0,0,0,4,0,7,0
National,National,1.39,9,0,3,8,8,5,0,0
National,Labour,0.35,8,6,3,5,5,5,4,3
National,National,0.77,0,0,0,0,0,0,0,0
Maori,Maori,0.37,4,7,0,3,0,7,7,5
Labour,Labour,0.30,5,10,5,5,0,0,0,5
National,National,0.53,5,5,5,5,5,5,5,5
Labour,Green,0.31,5,9,5,5,2,9,8,5
National,National,0.86,10,2,0,0,4,0,0,0
Labour,Labour,1.47,5,10,5,8,0,6,5,5
Green,Maori,0.35,3,7,1,1,1,9,9,0
Act,Act,0.57,5,4,3,2,8,7,6,1
Labour,National,0.69,7,6,5,5,5,5,5,5
Labour,Labour,0.30,0,7,0,0,0,0,0,0
Labour,Labour,0.98,8,8,8,0,0,8,8,5
Labour,DK,3.33,7,9,0,0,0,6,0,0
Labour,Labour,0.60,6,6,0,0,0,0,0,0
Act,DK,1.39,7,5,0,4,6,4,2,4
National,No Vote,3.27,5,3,1,1,1,1,2,1
Labour,Labour,0.48,2,8,1,0,0,5,2,1
Family,Other,1.62,6,2,5,5,0,0,6,0
National,National,0.53,6,7,2,7,4,2,5,2
Labour,Labour,0.31,5,10,5,1,0,10,0,10
Progressive,Labour,0.70,7,7,3,0,6,6,5,6
Labour,Labour,0.89,2,10,0,4,0,9,9,8
Labour,Labour,0.15,2,10,2,5,0,10,8,9
National,National,0.26,9,2,0,5,8,5,0,0
National,Green,0.38,7,5,3,3,4,6,5,4
National,National,0.62,9,3,1,3,3,4,3,1
National,National,0.34,8,0,0,5,5,0,5,0
Labour,Labour,0.46,1,10,1,0,0,5,6,7
Green,Green,0.18,5,6,0,5,4,8,6,0
National,National,0.88,8,4,3,4,6,5,5,0
Labour,Labour,0.55,4,9,6,5,0,8,6,6
National,National,0.35,10,0,0,0,0,0,0,0
National,DK,3.60,9,7,0,8,0,0,0,0
Labour,Labour,0.55,5,9,0,0,7,7,0,0
National,National,0.88,10,0,0,5,7,5,5,5
Green,Green,0.42,1,10,0,0,0,10,2,8
Labour,Labour,0.31,5,10,6,4,0,7,4,0
Labour,Labour,0.60,0,10,0,0,0,0,0,0
National,National,0.34,8,4,0,1,5,2,0,0
National,National,0.33,8,4,1,1,4,6,4,1
Labour,Labour,0.30,2,8,5,0,0,7,0,0
National,National,0.88,7,5,3,4,3,2,2,3
National,National,0.86,9,0,0,5,5,1,5,5
National,Act,0.33,10,1,1,5,8,1,1,5
NZ First,NZFirst,0.25,0,5,10,5,0,0,0,0
National,National,0.53,7,3,0,3,3,0,2,1
National,National,0.29,5,5,3,5,3,3,0,0
National,National,0.86,7,3,1,3,1,3,1,1
National,Labour,0.51,7,4,0,2,5,0,4,5
National,NZFirst,1.10,9,0,3,8,4,0,5,7
National,National,0.88,9,6,2,5,5,7,5,5
Labour,Labour,0.30,2,10,0,0,0,10,3,0
National,National,1.52,10,4,0,6,4,5,0,0
National,National,0.77,8,0,5,7,8,2,2,2
Labour,Labour,0.30,3,9,0,0,0,5,3,5
National,United F,0.17,10,0,3,9,7,7,0,0
Labour,Labour,0.31,5,8,2,2,3,4,2,2
No Vote,Labour,1.21,4,3,2,2,2,5,5,4
National,National,0.34,8,4,0,5,5,1,4,1
Labour,Labour,0.48,5,10,5,0,5,8,5,8
National,National,0.35,6,4,1,0,2,1,2,0
National,Labour,0.35,8,7,7,0,5,5,7,0
Labour,Labour,0.31,5,10,5,5,5,5,0,0
Labour,Labour,0.60,1,10,4,4,4,8,8,4
National,National,0.33,10,5,5,5,8,0,5,2
National,United F,0.67,8,8,2,8,7,7,8,7
Labour,Labour,2.61,5,10,3,0,0,6,5,10
Labour,Labour,0.30,0,10,0,0,0,0,0,0
Act,Act,0.35,8,5,2,0,6,2,4,1
National,Labour,0.33,7,7,3,4,1,5,4,5
Green,Labour,0.38,7,7,6,6,1,10,9,9
NZ First,National,0.38,7,6,6,6,2,2,2,4
National,National,1.80,9,2,5,5,6,1,5,5
Labour,Labour,0.77,5,10,0,5,1,10,0,8
Labour,Labour,0.48,5,8,0,0,2,7,5,0
Labour,Labour,0.29,3,7,2,2,2,7,7,0
Act,National,0.35,8,4,0,2,7,4,6,0
National,National,0.53,8,2,0,4,5,5,0,0
National,Labour,0.77,9,2,2,9,8,6,6,5
NZ First,NZFirst,0.24,10,3,5,0,2,2,7,0
Labour,Labour,0.77,4,7,0,4,4,7,7,4
National,National,0.53,7,5,2,0,2,0,3,0
Labour,Labour,0.30,8,9,2,0,0,1,0,1
Act,National,3.12,10,1,3,5,9,4,5,0
National,Act,0.26,2,0,0,3,6,0,0,0
National,National,0.66,8,5,3,2,4,4,4,2
National,NZFirst,3.33,8,4,6,4,5,3,1,3
Labour,Labour,0.31,3,9,3,1,2,7,2,0
National,National,0.33,9,6,4,5,4,4,4,0
National,NZFirst,0.35,8,3,5,5,4,6,6,5
National,National,0.33,7,1,0,0,0,3,5,0
National,Act,2.65,9,3,6,7,9,2,3,3
Labour,DK,0.79,5,5,0,0,0,0,0,0
Labour,Labour,0.23,5,8,0,0,0,8,5,5
National,National,0.84,10,0,0,5,5,7,7,0
National,National,0.77,9,2,0,10,10,7,5,2
Labour,Labour,1.48,7,9,4,2,3,1,5,1
National,United F,1.43,7,3,0,6,5,0,6,5
National,National,2.33,10,0,0,0,0,0,0,0
Act,DK,1.63,10,4,2,4,10,4,2,0
No Vote,No Vote,5.32,6,6,4,7,6,8,1,4
National,National,0.33,9,4,2,1,7,1,0,1
Green,Green,0.68,9,7,0,8,7,8,7,6
National,National,0.86,8,0,2,1,1,0,1,1
National,National,0.86,8,0,0,6,9,0,2,0
Labour,,0.30,5,7,10,0,9,5,0,2
Labour,Labour,1.48,0,7,5,5,0,7,5,5
National,Labour,0.32,7,6,0,0,0,5,5,0
Labour,Labour,0.48,7,5,6,0,0,0,5,5
National,DK,0.35,5,3,3,4,4,3,3,3
Labour,Labour,0.48,8,10,5,0,0,0,0,0
National,Act,0.42,8,0,0,0,9,0,7,0
National,Labour,1.80,7,5,1,3,4,2,1,2
Labour,Labour,0.31,2,7,4,0,0,0,0,0
National,National,0.67,8,2,0,4,7,0,2,0
Labour,National,0.81,6,5,2,0,5,8,5,0
National,DK,0.33,0,0,0,0,0,0,0,0
National,Act,2.91,7,2,0,3,3,0,3,0
National,National,0.77,7,1,1,5,5,1,1,1
Labour,Labour,0.31,5,10,0,0,2,8,8,7
Labour,Labour,2.92,4,9,6,3,0,5,7,0
National,National,1.10,9,7,0,5,6,1,5,0
Labour,Labour,0.60,1,9,1,1,1,9,7,0
United F,United F,0.62,4,7,0,10,2,8,6,7
NZ First,DK,0.62,5,5,5,5,4,1,5,5
National,National,0.33,7,5,1,0,0,3,2,0
Labour,Labour,0.77,5,8,3,2,1,5,4,5
National,National,0.33,10,2,0,1,2,1,3,0
Labour,Labour,0.30,0,9,0,0,5,7,0,0
National,National,1.64,10,6,1,7,7,7,5,5
Labour,DK,0.48,5,5,8,0,0,2,2,7
United F,,1.32,7,4,7,7,3,3,5,6
National,United F,0.33,8,0,0,6,4,2,7,0
Labour,Labour,0.55,5,10,3,0,0,8,0,0
National,National,0.86,6,5,5,5,5,1,5,5
Labour,Labour,0.23,4,7,1,2,1,8,4,7
Labour,Labour,1.47,2,9,0,1,0,9,1,0
National,Labour,0.35,7,8,8,0,0,6,6,5
United F,United F,0.21,5,5,0,7,5,6,7,6
National,National,0.86,8,3,5,2,7,3,3,2
National,National,0.86,5,4,2,4,5,2,2,2
National,NZFirst,1.80,10,3,0,5,7,5,0,0
Labour,Labour,0.60,2,10,4,0,0,4,0,0
Labour,Labour,1.47,6,10,10,0,0,4,0,4
NZ First,Labour,0.25,1,9,9,0,0,5,0,0
Green,Green,0.38,5,5,5,0,0,8,5,0
National,National,0.86,9,3,1,5,7,1,3,1
United F,Labour,0.40,6,7,4,4,4,1,2,2
National,National,0.35,10,3,3,4,4,0,0,0
National,National,0.77,10,1,0,3,9,1,0,0
National,DK,0.35,10,3,5,5,3,2,10,5
National,Labour,1.10,10,7,3,8,0,1,0,0
National,National,0.35,9,4,4,3,3,4,2,3
National,National,0.67,10,0,0,7,7,5,2,2
Green,Labour,0.95,3,8,0,0,3,9,0,10
National,National,0.33,6,3,3,5,5,4,6,5
NZ First,Green,0.18,4,4,5,1,2,7,5,2
Labour,Labour,0.98,4,4,6,4,1,3,4,6
National,National,0.77,10,0,7,1,9,4,0,2
Labour,Labour,0.55,5,9,5,5,5,5,5,9
National,National,0.86,9,7,5,2,0,1,4,0
NZ First,NZFirst,0.24,8,5,6,4,6,3,5,3
Green,Green,0.46,3,9,8,3,4,8,8,8
Labour,Labour,0.30,9,10,7,6,6,6,5,8
Labour,Labour,0.30,0,10,0,0,0,8,7,7
National,National,0.35,8,4,3,0,6,5,0,0
Labour,Labour,0.29,3,8,1,3,0,7,5,7
Labour,DK,1.28,3,8,2,3,1,8,6,0
Act,Act,0.71,7,2,0,5,8,0,5,0
Family,Destiny,1.26,5,3,5,5,5,1,5,1
National,Labour,0.35,5,5,5,2,2,3,2,2
National,Labour,0.88,6,5,3,4,6,5,5,0
National,National,0.26,8,1,0,0,4,0,2,0
NZ First,NZFirst,0.24,7,3,2,6,2,0,0,0
Progressive,United F,0.62,5,7,1,3,2,7,6,7
National,National,0.35,10,3,0,0,3,0,5,0
Green,Green,0.42,5,7,5,6,4,7,0,0
National,National,0.33,10,0,5,5,5,0,0,0
National,National,0.35,10,0,0,0,0,0,0,0
National,National,0.35,8,5,5,5,5,5,0,6
National,National,2.81,7,2,1,2,3,3,1,2
Labour,Labour,0.34,4,8,3,1,0,7,7,5
NZ First,NZFirst,0.25,4,7,10,0,0,5,5,5
Labour,Labour,2.16,5,5,5,5,5,5,5,5
Labour,Labour,1.36,5,7,5,0,4,0,2,0
Labour,Labour,0.55,5,8,2,3,1,8,0,1
National,National,0.38,7,2,0,5,6,3,0,1
National,National,0.35,10,0,5,0,0,2,3,2
Act,National,0.45,8,1,7,6,8,7,6,4
No Vote,National,0.49,10,5,5,6,5,7,7,5
Labour,Labour,0.25,6,8,6,2,0,3,2,6
National,Labour,0.33,10,5,2,2,3,3,1,2
National,National,0.67,10,3,1,5,7,5,3,1
Maori,Labour,0.40,1,3,2,3,1,3,3,2
Labour,Labour,0.59,0,10,0,0,0,5,5,5
National,National,0.33,8,2,0,4,4,0,4,1
National,National,0.33,8,5,2,0,0,5,0,0
National,National,3.57,10,3,1,1,1,0,3,0
National,National,3.57,7,3,3,3,3,3,4,4
National,National,0.67,8,6,2,0,4,4,3,3
NZ First,NZFirst,1.18,7,4,8,0,5,6,6,0
National,United F,0.66,6,5,1,5,5,3,4,4
National,National,0.35,10,0,0,5,5,0,5,0
National,National,2.42,8,0,5,5,5,0,0,0
Act,Act,0.57,10,5,6,3,10,0,5,0
Labour,Labour,0.77,8,8,0,5,0,8,5,5
Labour,National,0.48,2,8,5,5,1,6,4,5
National,National,0.66,10,5,0,5,7,2,7,5
National,National,0.67,10,0,0,2,2,0,0,0
Labour,Labour,0.60,5,5,2,3,3,3,3,3
National,National,0.67,8,0,0,0,5,0,6,0
Labour,Labour,1.61,5,7,6,2,2,2,3,2
National,National,1.52,8,3,0,0,6,0,0,0
Labour,Labour,0.77,6,8,5,2,2,6,4,3
Labour,National,0.29,7,9,1,5,5,8,7,5
National,National,0.33,8,1,6,1,1,0,0,1
National,Labour,0.35,7,5,5,0,0,0,0,0
NZ First,Labour,0.47,7,0,4,0,0,3,0,0
National,NZFirst,0.77,6,5,6,3,0,4,5,0
NZ First,NZFirst,1.74,5,5,5,0,0,5,0,0
Labour,Labour,0.48,3,9,6,0,0,9,6,0
National,National,0.33,10,4,2,7,6,2,6,3
Labour,Labour,2.60,3,7,1,0,1,3,3,3
National,National,0.35,10,0,0,5,5,1,5,1
Act,National,0.93,7,2,0,6,6,0,5,5
National,DK,0.26,8,3,0,6,2,3,6,0
Labour,Labour,1.47,0,0,0,0,0,0,0,0
Labour,Labour,0.30,5,8,3,4,2,3,1,1
Labour,Labour,0.59,2,8,0,0,0,8,4,0
National,National,,10,6,0,5,8,4,0,2
No Vote,No Vote,1.21,0,0,0,0,0,0,0,0
NZ First,NZFirst,1.18,7,5,7,5,6,0,3,3
Labour,Labour,0.31,3,4,4,0,1,3,1,0
Labour,,2.16,0,10,10,0,0,0,0,10
National,National,0.29,10,6,0,5,9,0,0,0
National,Labour,1.10,6,8,4,3,4,5,4,4
Labour,No Vote,0.48,2,10,1,0,0,6,0,5
National,National,0.47,7,2,1,6,4,5,2,2
National,United F,1.43,8,5,2,6,0,0,0,0
National,National,0.42,8,2,5,5,2,0,8,0
National,National,0.35,10,2,1,5,5,3,5,5
Act,Act,1.93,10,5,2,2,10,0,2,5
