"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
No Vote,No Vote,1.76,0,0,0,0,0,0,2,0
Labour,No Vote,0.40,5,10,0,0,0,10,1,0
Maori,Labour,0.14,3,5,4,0,0,5,10,5
NZ First,NZFirst,0.11,7,7,10,2,1,5,10,0
Labour,Labour,2.36,1,9,0,0,0,3,5,0
NZ First,Labour,0.07,0,6,7,0,0,7,7,0
National,National,0.24,7,2,0,3,4,4,5,1
Labour,Labour,0.21,0,10,8,0,0,3,10,0
NZ First,NZFirst,0.43,4,9,9,4,2,1,9,1
Labour,Labour,0.08,4,8,6,0,0,3,4,0
Labour,Labour,0.87,2,10,10,0,2,9,10,0
Labour,Labour,0.43,5,10,5,3,1,5,10,3
Maori,Maori,0.14,5,0,2,9,6,2,10,1
Labour,Green,0.09,0,7,7,4,0,2,7,7
Maori,Labour,0.43,0,10,0,0,0,3,10,0
Maori,NZFirst,3.45,5,9,8,0,0,8,10,0
Maori,No Vote,0.48,0,0,5,0,0,0,10,0
Maori,DK,0.91,3,2,10,3,0,10,5,0
Labour,Labour,1.10,7,9,5,5,3,7,7,5
Maori,Labour,0.05,0,10,0,0,0,0,0,0
Labour,Labour,0.40,3,7,3,5,5,6,7,5
Labour,Labour,0.21,6,10,5,2,1,4,5,1
Labour,Labour,0.10,0,10,0,0,0,10,1,0
Labour,Labour,1.67,0,6,0,0,0,6,6,0
Labour,Progressive,0.27,4,10,10,0,0,0,3,10
Labour,Labour,0.21,0,10,2,0,0,0,8,0
Maori,Maori,0.14,3,3,0,0,0,4,3,0
Maori,Maori,0.11,7,3,0,2,2,1,8,1
Labour,Labour,0.40,7,7,4,10,4,4,4,4
NZ First,Labour,0.91,6,8,7,6,1,8,6,6
Labour,Labour,0.08,0,10,6,0,0,10,0,10
Maori,Labour,0.14,4,6,0,0,0,6,5,0
Maori,Maori,0.29,5,5,5,0,5,5,10,5
National,NZFirst,2.19,8,6,4,5,6,5,6,6
National,Labour,0.49,5,5,5,0,0,5,5,0
Maori,Maori,0.14,6,8,0,0,0,10,10,0
Labour,DK,0.40,1,7,7,1,1,7,10,1
Labour,Labour,0.37,4,10,7,5,4,7,2,5
Labour,Labour,0.15,8,8,7,0,2,8,10,0
Labour,Labour,0.36,2,9,5,1,0,5,9,0
Maori,Labour,0.19,6,6,4,3,3,6,7,5
No Vote,Labour,0.50,3,7,5,3,3,3,4,3
Labour,Labour,0.24,4,9,1,1,3,3,7,0
NZ First,DK,0.64,5,5,10,1,2,0,0,5
National,No Vote,0.24,8,6,8,1,0,0,2,0
Maori,Labour,0.06,5,9,0,0,0,8,10,0
Progressive,Green,0.17,4,5,5,1,1,2,8,9
Labour,Labour,0.33,5,5,5,5,5,5,5,5
Maori,Labour,0.06,0,0,0,0,0,0,10,0
Labour,Labour,0.19,5,10,5,0,0,7,10,0
Labour,Labour,0.80,0,10,5,0,0,7,10,3
Labour,Labour,0.24,4,5,5,3,3,5,5,2
Labour,Labour,0.40,0,10,0,0,0,0,0,0
Maori,DK,0.39,7,5,5,5,5,5,5,5
Maori,Maori,0.05,4,6,4,1,1,4,10,1
NZ First,NZFirst,0.13,5,8,9,0,0,2,8,0
Maori,Maori,0.06,8,1,0,1,8,9,10,3
National,No Vote,0.42,8,5,2,2,3,3,4,1
Labour,Labour,0.09,0,0,0,0,0,0,0,0
Labour,DK,0.22,6,6,6,0,5,4,6,0
Labour,Labour,0.19,0,10,6,0,4,8,10,0
National,National,0.33,10,0,0,1,4,4,0,4
Labour,Labour,0.33,0,8,0,0,0,0,0,0
Labour,Labour,0.80,1,9,0,0,0,0,9,9
Labour,Labour,0.16,5,10,3,0,9,10,4,6
Labour,Labour,0.37,6,10,3,0,0,6,3,0
Labour,Labour,0.22,7,7,3,3,3,6,7,3
Labour,Labour,0.19,2,9,4,5,4,8,8,0
Maori,Labour,0.16,1,4,3,2,2,5,5,6
Labour,Labour,0.22,0,10,0,0,0,1,7,0
Maori,Labour,0.11,0,1,5,0,0,0,5,0
National,Labour,0.10,10,9,0,0,0,10,10,0
Maori,Labour,0.13,8,8,0,0,5,0,10,5
Maori,Maori,0.33,8,3,5,0,0,8,10,2
Labour,Labour,0.16,0,10,0,5,0,5,10,0
No Vote,Labour,0.77,4,5,4,0,0,8,8,0
Labour,Labour,0.59,5,8,0,0,0,7,10,0
Maori,Destiny,0.13,5,5,5,0,0,0,10,0
Labour,Labour,0.09,5,7,5,0,0,5,0,0
NZ First,Labour,0.32,0,0,10,0,0,0,0,0
NZ First,NZFirst,0.14,5,1,0,6,10,3,2,4
Maori,Labour,0.13,6,10,7,0,0,7,10,5
Maori,Labour,0.11,0,10,10,0,0,10,10,0
Maori,Labour,0.11,5,5,5,5,5,10,10,5
Labour,Labour,0.59,1,10,5,4,1,6,8,3
Labour,Labour,0.22,0,10,0,0,0,5,10,0
Another,NZFirst,0.18,0,0,10,0,0,5,10,0
Green,Maori,0.11,4,6,2,2,0,2,7,2
Labour,Labour,0.40,0,10,5,0,0,5,5,5
Maori,Labour,0.25,0,10,7,0,0,0,10,0
Labour,Labour,0.09,0,10,10,0,0,0,0,0
Maori,Labour,0.53,0,10,0,0,0,0,10,0
Labour,Labour,0.16,10,0,5,5,2,8,9,5
Labour,Labour,0.16,5,7,2,0,0,7,7,1
National,National,0.17,8,5,0,0,3,0,2,0
Labour,Labour,0.09,4,8,2,2,2,3,5,0
National,National,0.33,10,0,0,0,0,0,0,0
Labour,Labour,0.16,1,10,7,7,7,10,2,7
Labour,Labour,0.37,2,10,1,1,1,7,2,1
Green,Labour,0.46,10,8,10,10,10,5,5,10
Maori,Labour,0.38,4,6,0,0,1,10,10,3
Maori,,0.06,5,10,9,5,5,7,10,5
Labour,No Vote,0.22,2,10,0,0,0,5,8,0
Green,Labour,0.30,3,6,5,2,3,10,10,9
Labour,Labour,0.77,0,10,10,0,0,5,10,0
Maori,DK,1.82,0,10,0,0,0,0,5,0
NZ First,NZFirst,0.32,0,5,10,0,0,0,7,0
Labour,Labour,0.16,8,5,5,0,0,6,10,0
No Vote,Destiny,0.17,2,1,0,0,0,0,5,0
Labour,Labour,0.09,5,10,5,0,0,5,10,10
Labour,Labour,0.59,0,10,10,0,0,10,10,0
Labour,Labour,0.45,4,9,6,3,3,10,8,7
Maori,Labour,0.06,5,8,8,0,0,8,10,0
NZ First,NZFirst,0.07,2,9,8,0,0,8,0,8
Maori,Labour,0.33,5,4,3,0,0,0,9,0
Maori,Labour,0.11,4,4,6,10,0,0,10,0
Maori,Maori,0.11,8,2,5,0,5,5,10,3
Maori,Labour,0.69,5,5,3,3,3,6,6,3
Labour,DK,0.09,0,5,5,5,0,5,5,0
Labour,Labour,0.09,0,10,5,0,0,2,5,0
Maori,No Vote,0.05,3,4,2,2,2,9,10,3
Labour,Labour,0.22,5,10,5,0,0,6,10,0
Labour,Labour,0.33,7,10,10,5,5,10,10,5
Green,Green,0.10,0,7,1,0,0,10,4,0
No Vote,Maori,0.50,2,2,8,2,2,8,8,2
Maori,Maori,0.14,5,5,5,1,0,5,10,6
Green,No Vote,1.22,0,1,5,1,8,9,6,0
Labour,Labour,0.36,2,4,2,0,0,3,0,0
Maori,Maori,0.05,7,6,5,1,3,6,10,1
Labour,Labour,0.16,0,7,0,0,0,0,7,0
Labour,Labour,1.22,5,10,0,0,0,7,7,0
NZ First,NZFirst,0.15,1,8,8,5,1,3,4,0
Labour,Labour,0.09,5,0,0,0,0,0,0,0
Labour,Labour,0.16,5,8,6,0,0,3,7,5
Labour,Maori,0.77,0,10,10,0,0,6,0,0
Labour,Labour,0.37,0,10,5,0,0,5,1,0
Labour,Labour,0.37,0,10,5,5,5,7,6,5
Labour,Labour,0.08,6,9,2,2,0,8,8,2
National,National,0.18,5,7,2,4,2,4,5,4
Maori,DK,0.39,0,0,0,0,0,0,0,0
Labour,Labour,0.14,5,7,4,5,5,5,7,5
Labour,Labour,0.37,0,0,0,0,0,0,0,0
Labour,Labour,0.36,5,10,1,1,1,8,7,2
Labour,DK,0.21,7,6,4,0,4,0,10,0
Maori,Labour,0.18,0,0,0,0,0,0,0,0
No Vote,No Vote,1.76,10,1,8,1,1,6,5,1
Maori,NZFirst,0.05,10,10,10,5,0,5,5,0
NZ First,NZFirst,0.08,5,5,7,0,0,4,7,3
Maori,DK,1.11,5,5,2,0,0,5,5,0
NZ First,NZFirst,0.43,10,0,10,0,0,0,7,4
NZ First,Labour,0.17,8,7,7,6,6,7,8,0
Green,Green,0.26,7,7,0,1,0,10,4,1
National,National,0.21,5,0,0,0,0,0,5,0
Labour,Labour,0.43,0,0,0,0,0,0,0,0
Labour,Labour,0.09,5,10,7,5,3,8,7,5
Labour,Labour,0.13,0,9,0,0,0,0,0,0
Labour,Labour,0.08,0,10,10,0,0,0,0,0
Maori,Maori,0.06,10,5,0,2,2,6,10,0
NZ First,NZFirst,0.14,5,5,10,0,0,0,2,10
National,DK,0.33,10,5,0,0,0,0,5,0
Labour,Labour,0.27,9,9,9,0,0,0,0,0
Labour,DK,1.67,0,0,0,0,0,0,0,0
Labour,Labour,0.27,0,10,0,0,0,0,0,0
Green,Maori,0.20,0,10,0,0,0,10,0,10
Labour,Labour,0.45,0,10,1,1,0,1,10,1
Maori,Labour,0.29,3,9,3,5,0,5,9,0
Labour,Labour,0.19,0,10,5,0,0,9,0,10
Maori,DK,0.25,4,4,4,0,0,0,10,0
Labour,Labour,0.36,0,10,7,5,5,7,5,0
Labour,Labour,0.19,1,9,7,0,0,9,6,7
Labour,Labour,0.40,1,10,5,1,1,8,9,1
Maori,Labour,0.16,4,6,3,2,0,4,10,2
Labour,Labour,0.17,5,10,2,0,1,6,6,0
Maori,Labour,0.14,0,10,5,0,2,9,10,6
Maori,Labour,0.13,8,5,3,1,0,8,10,3
Labour,Labour,0.08,2,9,3,5,2,8,10,5
Labour,Labour,0.08,5,10,8,5,5,5,5,5
Labour,Labour,0.59,4,10,3,0,1,5,9,0
Labour,Labour,0.40,0,0,0,0,0,0,0,0
Green,NZFirst,0.43,6,6,6,5,4,3,3,3
National,National,0.30,9,1,3,8,0,3,9,0
National,Labour,0.43,9,6,1,2,4,5,7,0
No Vote,Labour,0.43,9,10,0,0,0,8,0,0
Green,DK,0.26,0,9,3,5,0,10,9,5
NZ First,Labour,0.64,1,6,10,0,1,1,6,0
