6,
308,
3199,3408,838,9204,21906,303,
0,27973,2058,4521,12164,776,
0,15850,995,1797,15084,0,
11091,2021,806,16429,12102,323,
0,7924,1666,16757,24046,552,
0,25864,3776,5330,11217,222,
0,36334,1702,1481,7740,704,
0,25281,2112,8341,9861,806,
0,29393,2105,12664,14723,293,
0,19220,1751,18013,8932,0,
2392,12901,1710,14632,16390,0,
0,28803,2629,2739,18835,0,
4917,14441,849,6242,22376,124,
0,27181,2161,4110,14600,421,
10745,0,1279,3463,22387,14594,
0,19214,666,1070,9841,116,
0,29062,1887,10230,12940,454,
0,23946,2301,2008,9876,415,
0,27820,1164,2645,7051,725,
14684,9330,1144,4735,22393,228,
0,8322,307,12914,4465,0,
0,37959,2551,1918,7566,0,
0,18076,911,2467,12518,0,
0,15896,879,1400,11419,127,
0,27462,877,6545,6903,9611,
19242,4606,1078,4830,32131,0,
0,25109,2032,8027,7860,0,
0,22078,1832,17671,8433,0,
18033,13145,1098,3711,17316,0,
13170,6218,867,4101,18360,0,
14873,5057,1229,5300,25639,0,
15105,4469,972,3400,29603,0,
8577,18438,553,1615,11182,0,
17702,2328,899,4920,27484,557,
0,24544,31890,4208,8185,0,
0,12662,1762,4673,22483,0,
0,21737,1245,13314,6935,0,
0,18456,1017,5964,11382,294,
15384,5887,1523,7423,24361,0,
12651,8108,994,2784,26963,0,
16023,5603,1326,4644,24943,0,
11353,4396,944,8463,18705,0,
2981,7124,857,17726,11948,176,
3396,4991,657,15340,11720,162,
13961,8447,972,5670,18628,0,
0,26112,1252,6931,14856,514,
0,19954,926,3013,13271,682,
0,14652,626,697,14114,0,
0,21183,1250,2428,11395,0,
0,18328,945,8343,16467,149,
0,13498,998,12028,11443,0,
0,12830,1635,11699,14119,0,
0,13930,946,18498,7376,0,
0,13158,848,13849,10145,259,
0,13935,684,12699,18935,357,
0,26848,1423,1980,10933,0,
12615,7908,1022,4855,27575,0,
18665,4784,894,5020,22415,233,
0,31581,3489,11090,11515,322,
0,31784,3482,8207,11185,9715,
0,12117,1102,1268,19431,1203,
0,21598,898,1236,5461,0,
0,17948,1579,7037,15033,0,
0,31990,3245,9775,11881,1751,
0,25571,1924,10358,11973,448,
0,9198,467,3019,31388,0,
0,8883,291,11130,18681,0,
0,17864,2495,22409,12124,303,
0,29538,1038,8510,8313,151,
0,12881,1359,8172,22684,345,
0,13181,1289,6797,14678,1038,
0,14023,1191,14788,7049,0,
17663,5236,1219,4893,28260,0,
0,36629,1562,14125,7141,215,
0,10097,909,8067,18085,0,
0,10894,1115,6117,18334,265,
0,10526,724,5230,16738,0,
0,21108,831,5337,6388,0,
0,6885,3107,8472,29235,387,
0,10976,2861,15276,35601,596,
11987,6205,972,3617,26981,602,
0,15323,9089,18260,15325,852,
0,8361,3383,4382,27794,318,
0,27206,3018,3039,25379,361,
0,13157,1860,7796,23452,563,
0,20984,2922,22903,7499,0,
0,19504,1151,15604,8552,222,
17781,11360,1864,8023,30177,0,
0,38533,1515,20435,7940,0,
0,39145,2499,1525,5561,327,
0,14275,7015,8448,30679,0,
0,14291,954,15823,7681,0,
0,20895,1297,7276,21917,539,
0,35132,3527,9034,7146,316,
0,20204,1487,15632,5631,0,
0,28614,4436,14123,14828,850,
0,5001,477,2872,7140,87,
0,32652,1634,2569,5103,0,
2278,7218,1516,15346,14704,213,
0,37756,1978,1348,5281,0,
0,37525,3143,9066,14305,198,
0,43669,4071,3908,6595,181,
0,22207,0,21275,9777,0,
0,12577,1096,4327,21592,153,
0,14945,1354,5764,22235,242,
0,7173,1830,2872,13928,152,
0,6701,458,9097,9053,118,
0,22840,889,14296,5693,0,
0,15506,1383,14784,7945,321,
0,31925,2132,1190,5411,788,
0,20356,979,13979,6656,0,
0,8559,975,11542,14122,0,
0,6122,450,13030,7721,401,
0,33614,2851,5702,10190,509,
0,21906,774,2167,6931,0,
0,5422,3037,5290,2308,0,
