wpe,lijphart,loosemorehanby,raes,gallagher,enp,governability,entropy,alpha
1,0.058897333,0.165615833,0.041403958,0.091359625,7.045009785,0.147743764,-1.980656599,20
1,0.057924667,0.115866167,0.028966542,0.066068214,7.468879668,0.137346939,-2.031961722,20
1,0.058470167,0.082261667,0.020565417,0.051911697,7.667731629,0.139897959,-2.029169004,20
1,0.050469333,0.0915065,0.022876625,0.058121485,7.586933614,0.137244898,-2.02782478,20
1,0.032344167,0.081978833,0.020494708,0.046825128,7.717041801,0.137040816,-2.028728433,20
1,0.0588415,0.092631667,0.023157917,0.058155167,7.594936709,0.137959184,-2.031948274,20
1,0.025434667,0.058611,0.01465275,0.039732189,7.800650054,0.138673469,-2.00949178,20
1,0.0332775,0.091489667,0.022872417,0.047725307,7.717041801,0.136632653,-2.031122385,20
1,0.016959,0.0427475,0.010686875,0.02897624,7.894736842,0.140408163,-1.982615695,20
1,0.058119167,0.1163405,0.029085125,0.067816311,7.445708376,0.137040816,-2.031570468,20
1,0.049912833,0.1160595,0.029014875,0.071442007,7.392197125,0.13744898,-2.023970151,20
2,0.041303,0.099458333,0.024864583,0.061111493,7.547169811,0.13744898,-2.020312538,20
2,0.024865667,0.073389667,0.018347417,0.039268612,7.800650054,0.136632653,-2.031711402,20
2,0.048449,0.057764667,0.014441167,0.040619971,7.783783784,0.142857143,-2.021767756,20
2,0.073045667,0.106447333,0.026611833,0.06857456,7.415036045,0.138979592,-2.030740376,20
2,0.056728667,0.082614333,0.020653583,0.055289028,7.610993658,0.137857143,-2.033340439,20
2,0.022607,0.040839667,0.010209917,0.027577961,7.894736842,0.13755102,-2.024269948,20
2,0.034736333,0.059809333,0.014952333,0.036095742,7.843137255,0.137244898,-2.032517271,20
2,0.064816,0.105694333,0.026423583,0.07107065,7.369498465,0.137653061,-2.023861562,20
2,0.023714667,0.050080333,0.012520083,0.041158847,7.783783784,0.141938776,-1.962343242,20
2,0.032676333,0.072845,0.01821125,0.043764548,7.750269107,0.137653061,-2.022996193,20
2,0.049690667,0.099222333,0.024805583,0.057395475,7.594936709,0.137142857,-2.031067029,20
2,0.032393,0.065479,0.01636975,0.038852979,7.800650054,0.136734694,-2.033079834,20
2,0.040927667,0.088289333,0.022072333,0.052787221,7.635206787,0.136632653,-2.031628076,20
2,0.065125,0.098551667,0.024637917,0.06507178,7.468879668,0.138265306,-2.030013134,20
2,0.017294333,0.058167,0.01454175,0.033953338,7.851690294,0.13755102,-2.019528606,20
2,0.041756667,0.114361333,0.028590333,0.071083365,7.384615385,0.138571429,-2.006593022,20
2,0.041546333,0.108441333,0.027110333,0.060516296,7.555089192,0.137040816,-2.026152093,20
2,0.022655667,0.046667667,0.011666917,0.025825815,7.903402854,0.137346939,-2.031753939,20
2,0.056593,0.130076667,0.032519167,0.071906992,7.36196319,0.137040816,-2.032026034,20
2,0.048883333,0.065246667,0.016311667,0.043699329,7.750269107,0.139897959,-2.029232923,20
2,0.032888,0.048345333,0.012086333,0.034135244,7.843137255,0.137040816,-2.028666353,20
2,0.040511667,0.081236333,0.020309083,0.045995481,7.725321888,0.136632653,-2.034073849,20
2,0.02543,0.074297667,0.018574417,0.043215754,7.75862069,0.136734694,-2.030203811,20
2,0.057258667,0.114697333,0.028674333,0.063524048,7.5,0.137346939,-2.031645842,20
2,0.042192333,0.088844667,0.022211167,0.051938421,7.651434644,0.137653061,-2.017402474,20
2,0.048882667,0.073594667,0.018398667,0.045986674,7.725321888,0.13877551,-2.031697735,20
2,0.023691667,0.079262,0.0198155,0.041663765,7.75862069,0.136020408,-2.034452899,20
2,0.033267333,0.057435667,0.014358917,0.038387896,7.800650054,0.13755102,-2.024269948,20
2,0.056810667,0.073363333,0.018340833,0.050783883,7.667731629,0.139897959,-2.029232923,20
2,0.050049,0.096783667,0.024195917,0.061121975,7.531380753,0.13744898,-2.025270757,20
3,0.056036833,0.0966235,0.024155875,0.060380457,7.531380753,0.13755102,-2.030452339,20
3,0.030611333,0.101523333,0.025380833,0.057165497,7.555089192,0.137346939,-2.024915646,20
3,0.0476175,0.0723255,0.018081375,0.046660462,7.708779443,0.137653061,-2.032004146,20
3,0.032825333,0.057443333,0.014360833,0.03570592,7.826086957,0.137040816,-2.031978206,20
3,0.040492167,0.090892167,0.022723042,0.053364866,7.643312102,0.136938776,-2.029370143,20
3,0.016306667,0.041079667,0.010269917,0.021720421,7.938257993,0.136020408,-2.033667461,20
3,0.0491375,0.114364667,0.028591167,0.06534933,7.468879668,0.136938776,-2.028966173,20
3,0.0236265,0.055706333,0.013926583,0.033071086,7.851690294,0.136734694,-2.030442915,20
3,0.031434333,0.057883333,0.014470833,0.036693956,7.817589577,0.137244898,-2.02782478,20
3,0.025295,0.059058833,0.014764708,0.032813284,7.868852459,0.137346939,-2.025310504,20
3,0.033217333,0.059444333,0.014861083,0.037403678,7.826086957,0.136836735,-2.031323561,20
3,0.056248833,0.113150667,0.028287667,0.065334445,7.453416149,0.13755102,-2.031020474,20
3,0.056736333,0.063829167,0.015957292,0.047097306,7.708779443,0.141938776,-2.024352105,20
3,0.042295167,0.082822333,0.020705583,0.062123698,7.51565762,0.141938776,-1.962343242,20
3,0.024801,0.057559333,0.014389833,0.035892521,7.834602829,0.136938776,-2.026516619,20
3,0.032428333,0.0719195,0.017979875,0.040405449,7.783783784,0.136734694,-2.032675937,20
3,0.024074,0.0737945,0.018448625,0.040546489,7.783783784,0.13755102,-2.024769718,20
3,0.0254325,0.0731875,0.018296875,0.040576471,7.792207792,0.136938776,-2.026603146,20
3,0.032670333,0.081703333,0.020425833,0.046273534,7.725321888,0.137142857,-2.028191498,20
3,0.0255175,0.043344167,0.010836042,0.028623322,7.894736842,0.13755102,-2.028345778,20
3,0.031321333,0.0746135,0.018653375,0.04436962,7.750269107,0.13755102,-2.021321093,20
3,0.033418833,0.066833667,0.016708417,0.037964501,7.817589577,0.137346939,-2.031961722,20
3,0.024784,0.079481833,0.019870458,0.042484994,7.75862069,0.136020408,-2.033263324,20
3,0.054945333,0.128897833,0.032224458,0.068996121,7.392197125,0.145578231,-2.000445661,20
